,video_id,artist,song
36003,GO-6wpLxgVk,Alkaline,Pick Unuh Side (Official Audio)
36118,2in8XqiElwc,Nicki Minaj,Chun-Li (Live on SNL / 2018)
36218,pcJo0tIWybY,SZA,Garden (Say It Like Dat)
36236,6SuMbFuKDf8,Backstreet Boys,Don't Go Breaking My Heart
36385,2in8XqiElwc,Nicki Minaj,Chun-Li (Live on SNL / 2018)
36545,voG07pt-KYI,ZAYN,Entertainer
36593,NxqjMiFe-rQ,Sangria Wine & Havana (Live on the Billboard Music Awards,ngria Wine & Havana (Live on the Billboard Music Awards)
36691,voG07pt-KYI,ZAYN,Entertainer
36746,au8QGTiPhEw,Azealia Banks,Anna Wintour
36848,NxqjMiFe-rQ,Sangria Wine & Havana (Live on the Billboard Music Awards,ngria Wine & Havana (Live on the Billboard Music Awards)
36917,voG07pt-KYI,ZAYN,Entertainer
36931,UW_xEqCWrm0,Falz,This Is Nigeria
36951,au8QGTiPhEw,Azealia Banks,Anna Wintour
37109,UW_xEqCWrm0,Falz,This Is Nigeria
37126,Yo0RvZZz_ds,Bastille,Quarter Past Midnight (Visualiser)
37153,voG07pt-KYI,ZAYN,Entertainer
37242,au8QGTiPhEw,Azealia Banks,Anna Wintour
37325,UW_xEqCWrm0,Falz,This Is Nigeria
37333,Yo0RvZZz_ds,Bastille,Quarter Past Midnight (Visualiser)
37453,voG07pt-KYI,ZAYN,Entertainer
37593,UW_xEqCWrm0,Falz,This Is Nigeria
37598,Yo0RvZZz_ds,Bastille,Quarter Past Midnight (Visualiser)
37879,Yo0RvZZz_ds,Bastille,Quarter Past Midnight (Visualiser)
38001,JrO46CJd9ns,Jay Rock,WIN
38258,JrO46CJd9ns,Jay Rock,WIN
38317,f_akFYKDA64,Luke Combs,Must've Never Met You
38335,TuTDc9d_9yI,Florida Georgia Line,Simple (Lyric Version)
38350,ho0WBKPJtfc,"Johnny Orlando, Mackenzie Ziegler",What If
38428,iQEVguV71sI,"Thalía, Natti Natasha",No Me Acuerdo
